number,value,state,params_batch_size,params_dropout,params_ff_dim,params_input_size,params_learning_rate,params_loss,params_n_block,params_n_features,user_attrs_best_validation_qlike,user_attrs_n_train_sequences,user_attrs_n_val_sequences,user_attrs_selected_features,duration
0,2.410969827483872,COMPLETE,128,0.2,256,132,0.003,mse,3,30,2.410969827483872,1879.0,505.0,"['rv_yz_22', 'vix', 'atr_14', 'bollinger_width_20', 'baa', 'stress_index', 'true_range', 'aaa', 'dxy', 'parkinson', 'macd', 'garman_klass', 'cpi', 'rsi_14', 'rogers_satchell', 'ret_spx_abs', 'gold_close', 'industrial_production', 'wti_close', 'rv_diaria', 'vix_term_spread', 'indu_close', 'obv', 'roc_10', 'baa_aaa_spread', 'adx_14', 'ust_10y', 'spx_high', 'volume_medio_22d', 'epu', 'spy_volume']",0 days 00:00:15.792481
1,0.31505598296007187,COMPLETE,128,0.0,128,66,0.0003,mse,3,40,0.31505598296007187,1945.0,505.0,"['rv_yz_22', 'vix', 'atr_14', 'bollinger_width_20', 'baa', 'stress_index', 'true_range', 'aaa', 'dxy', 'parkinson', 'macd', 'garman_klass', 'cpi', 'rsi_14', 'rogers_satchell', 'ret_spx_abs', 'gold_close', 'industrial_production', 'wti_close', 'rv_diaria', 'vix_term_spread', 'indu_close', 'obv', 'roc_10', 'baa_aaa_spread', 'adx_14', 'ust_10y', 'spx_high', 'volume_medio_22d', 'epu', 'spy_volume', 'ndx_close', 'ret_spx_simple', 'ret_ukx_log', 'ret_indu_log', 'nky_close', 'ret_ndx_simple', 'ret_nky_log', 'yield_slope', 'ukx_close', 'unemployment']",0 days 00:00:02.930450
2,0.2899468966150469,COMPLETE,128,0.0,128,22,0.001,mse,4,50,0.2899468966150469,1988.0,505.0,"['rv_yz_22', 'vix', 'atr_14', 'bollinger_width_20', 'baa', 'stress_index', 'true_range', 'aaa', 'dxy', 'parkinson', 'macd', 'garman_klass', 'cpi', 'rsi_14', 'rogers_satchell', 'ret_spx_abs', 'gold_close', 'industrial_production', 'wti_close', 'rv_diaria', 'vix_term_spread', 'indu_close', 'obv', 'roc_10', 'baa_aaa_spread', 'adx_14', 'ust_10y', 'spx_high', 'volume_medio_22d', 'epu', 'spy_volume', 'ndx_close', 'ret_spx_simple', 'ret_ukx_log', 'ret_indu_log', 'nky_close', 'ret_ndx_simple', 'ret_nky_log', 'yield_slope', 'ukx_close', 'unemployment', 'fed_funds', 'ret_gold_simple', 'ust_3m', 'ret_wti_simple', 'ret_nky_simple', 'ret_dxy_log', 'ret_ukx_simple']",0 days 00:00:02.389930
3,1.0213968153429376,COMPLETE,32,0.1,128,264,0.003,huber,3,20,1.0213968153429376,1747.0,505.0,"['rv_yz_22', 'vix', 'atr_14', 'bollinger_width_20', 'baa', 'stress_index', 'true_range', 'aaa', 'dxy', 'parkinson', 'macd', 'garman_klass', 'cpi', 'rsi_14', 'rogers_satchell', 'ret_spx_abs', 'gold_close', 'industrial_production', 'wti_close', 'rv_diaria', 'vix_term_spread']",0 days 00:00:04.365068
4,0.54279842060967,COMPLETE,32,0.0,32,66,0.0001,mae,3,30,0.54279842060967,1945.0,505.0,"['rv_yz_22', 'vix', 'atr_14', 'bollinger_width_20', 'baa', 'stress_index', 'true_range', 'aaa', 'dxy', 'parkinson', 'macd', 'garman_klass', 'cpi', 'rsi_14', 'rogers_satchell', 'ret_spx_abs', 'gold_close', 'industrial_production', 'wti_close', 'rv_diaria', 'vix_term_spread', 'indu_close', 'obv', 'roc_10', 'baa_aaa_spread', 'adx_14', 'ust_10y', 'spx_high', 'volume_medio_22d', 'epu', 'spy_volume']",0 days 00:00:03.435074
5,0.3660867143162898,COMPLETE,32,0.0,128,22,0.0001,huber,2,40,0.3660867143162898,1988.0,505.0,"['rv_yz_22', 'vix', 'atr_14', 'bollinger_width_20', 'baa', 'stress_index', 'true_range', 'aaa', 'dxy', 'parkinson', 'macd', 'garman_klass', 'cpi', 'rsi_14', 'rogers_satchell', 'ret_spx_abs', 'gold_close', 'industrial_production', 'wti_close', 'rv_diaria', 'vix_term_spread', 'indu_close', 'obv', 'roc_10', 'baa_aaa_spread', 'adx_14', 'ust_10y', 'spx_high', 'volume_medio_22d', 'epu', 'spy_volume', 'ndx_close', 'ret_spx_simple', 'ret_ukx_log', 'ret_indu_log', 'nky_close', 'ret_ndx_simple', 'ret_nky_log', 'yield_slope', 'ukx_close', 'unemployment']",0 days 00:00:02.912337
6,0.2567013566673848,COMPLETE,64,0.1,64,22,0.003,mae,3,20,0.2567013566673848,1988.0,505.0,"['rv_yz_22', 'vix', 'atr_14', 'bollinger_width_20', 'baa', 'stress_index', 'true_range', 'aaa', 'dxy', 'parkinson', 'macd', 'garman_klass', 'cpi', 'rsi_14', 'rogers_satchell', 'ret_spx_abs', 'gold_close', 'industrial_production', 'wti_close', 'rv_diaria', 'vix_term_spread']",0 days 00:00:02.363217
7,0.36697078467433913,COMPLETE,128,0.3,256,66,0.0003,huber,3,40,0.36697078467433913,1945.0,505.0,"['rv_yz_22', 'vix', 'atr_14', 'bollinger_width_20', 'baa', 'stress_index', 'true_range', 'aaa', 'dxy', 'parkinson', 'macd', 'garman_klass', 'cpi', 'rsi_14', 'rogers_satchell', 'ret_spx_abs', 'gold_close', 'industrial_production', 'wti_close', 'rv_diaria', 'vix_term_spread', 'indu_close', 'obv', 'roc_10', 'baa_aaa_spread', 'adx_14', 'ust_10y', 'spx_high', 'volume_medio_22d', 'epu', 'spy_volume', 'ndx_close', 'ret_spx_simple', 'ret_ukx_log', 'ret_indu_log', 'nky_close', 'ret_ndx_simple', 'ret_nky_log', 'yield_slope', 'ukx_close', 'unemployment']",0 days 00:00:03.215391
8,0.26971884850129274,COMPLETE,128,0.2,256,22,0.001,huber,3,20,0.26971884850129274,1988.0,505.0,"['rv_yz_22', 'vix', 'atr_14', 'bollinger_width_20', 'baa', 'stress_index', 'true_range', 'aaa', 'dxy', 'parkinson', 'macd', 'garman_klass', 'cpi', 'rsi_14', 'rogers_satchell', 'ret_spx_abs', 'gold_close', 'industrial_production', 'wti_close', 'rv_diaria', 'vix_term_spread']",0 days 00:00:02.341567
9,3.5073700083655623,PRUNED,32,0.2,256,264,0.003,huber,2,all,,,,,0 days 00:00:03.444876
10,2.659949714286439,PRUNED,64,0.1,64,528,0.003,mae,6,20,,,,,0 days 00:00:04.675460
11,0.30691252577420075,COMPLETE,64,0.2,64,22,0.001,mae,6,20,0.30691252577420075,1988.0,505.0,"['rv_yz_22', 'vix', 'atr_14', 'bollinger_width_20', 'baa', 'stress_index', 'true_range', 'aaa', 'dxy', 'parkinson', 'macd', 'garman_klass', 'cpi', 'rsi_14', 'rogers_satchell', 'ret_spx_abs', 'gold_close', 'industrial_production', 'wti_close', 'rv_diaria', 'vix_term_spread']",0 days 00:00:05.681277
12,0.25413947351741834,COMPLETE,64,0.1,64,22,0.001,mae,4,20,0.25413947351741834,1988.0,505.0,"['rv_yz_22', 'vix', 'atr_14', 'bollinger_width_20', 'baa', 'stress_index', 'true_range', 'aaa', 'dxy', 'parkinson', 'macd', 'garman_klass', 'cpi', 'rsi_14', 'rogers_satchell', 'ret_spx_abs', 'gold_close', 'industrial_production', 'wti_close', 'rv_diaria', 'vix_term_spread']",0 days 00:00:03.886149
13,0.25413947351741834,COMPLETE,64,0.1,64,22,0.001,mae,4,20,0.25413947351741834,1988.0,505.0,"['rv_yz_22', 'vix', 'atr_14', 'bollinger_width_20', 'baa', 'stress_index', 'true_range', 'aaa', 'dxy', 'parkinson', 'macd', 'garman_klass', 'cpi', 'rsi_14', 'rogers_satchell', 'ret_spx_abs', 'gold_close', 'industrial_production', 'wti_close', 'rv_diaria', 'vix_term_spread']",0 days 00:00:03.958329
14,2.0031992205815237,PRUNED,64,0.1,64,528,0.001,mae,4,50,,,,,0 days 00:00:06.374696
15,0.7789310325776925,PRUNED,64,0.1,64,132,0.001,mae,4,all,,,,,0 days 00:00:01.963747
16,0.26726964788748003,COMPLETE,64,0.3,32,22,0.001,mae,4,20,0.26726964788748003,1988.0,505.0,"['rv_yz_22', 'vix', 'atr_14', 'bollinger_width_20', 'baa', 'stress_index', 'true_range', 'aaa', 'dxy', 'parkinson', 'macd', 'garman_klass', 'cpi', 'rsi_14', 'rogers_satchell', 'ret_spx_abs', 'gold_close', 'industrial_production', 'wti_close', 'rv_diaria', 'vix_term_spread']",0 days 00:00:03.413696
17,0.25413947351741834,COMPLETE,64,0.1,64,22,0.001,mae,4,20,0.25413947351741834,1988.0,505.0,"['rv_yz_22', 'vix', 'atr_14', 'bollinger_width_20', 'baa', 'stress_index', 'true_range', 'aaa', 'dxy', 'parkinson', 'macd', 'garman_klass', 'cpi', 'rsi_14', 'rogers_satchell', 'ret_spx_abs', 'gold_close', 'industrial_production', 'wti_close', 'rv_diaria', 'vix_term_spread']",0 days 00:00:04.270393
18,0.25413947351741834,COMPLETE,64,0.1,64,22,0.001,mae,4,20,0.25413947351741834,1988.0,505.0,"['rv_yz_22', 'vix', 'atr_14', 'bollinger_width_20', 'baa', 'stress_index', 'true_range', 'aaa', 'dxy', 'parkinson', 'macd', 'garman_klass', 'cpi', 'rsi_14', 'rogers_satchell', 'ret_spx_abs', 'gold_close', 'industrial_production', 'wti_close', 'rv_diaria', 'vix_term_spread']",0 days 00:00:04.223165
19,1.4357173872742899,PRUNED,64,0.1,64,264,0.0003,mae,4,30,,,,,0 days 00:00:02.893242
20,1.1101615974434031,PRUNED,64,0.3,32,528,0.0001,mse,4,50,,,,,0 days 00:00:05.873741
21,0.25413947351741834,COMPLETE,64,0.1,64,22,0.001,mae,4,20,0.25413947351741834,1988.0,505.0,"['rv_yz_22', 'vix', 'atr_14', 'bollinger_width_20', 'baa', 'stress_index', 'true_range', 'aaa', 'dxy', 'parkinson', 'macd', 'garman_klass', 'cpi', 'rsi_14', 'rogers_satchell', 'ret_spx_abs', 'gold_close', 'industrial_production', 'wti_close', 'rv_diaria', 'vix_term_spread']",0 days 00:00:03.771046
22,0.25413947351741834,COMPLETE,64,0.1,64,22,0.001,mae,4,20,0.25413947351741834,1988.0,505.0,"['rv_yz_22', 'vix', 'atr_14', 'bollinger_width_20', 'baa', 'stress_index', 'true_range', 'aaa', 'dxy', 'parkinson', 'macd', 'garman_klass', 'cpi', 'rsi_14', 'rogers_satchell', 'ret_spx_abs', 'gold_close', 'industrial_production', 'wti_close', 'rv_diaria', 'vix_term_spread']",0 days 00:00:03.762404
23,0.25413947351741834,COMPLETE,64,0.1,64,22,0.001,mae,4,20,0.25413947351741834,1988.0,505.0,"['rv_yz_22', 'vix', 'atr_14', 'bollinger_width_20', 'baa', 'stress_index', 'true_range', 'aaa', 'dxy', 'parkinson', 'macd', 'garman_klass', 'cpi', 'rsi_14', 'rogers_satchell', 'ret_spx_abs', 'gold_close', 'industrial_production', 'wti_close', 'rv_diaria', 'vix_term_spread']",0 days 00:00:04.521626
24,0.3377164734492456,PRUNED,64,0.1,64,22,0.001,mae,6,20,,,,,0 days 00:00:01.650129
