model,horizon,GW_stat_vs_RW,GW_pvalue_vs_RW,n,GW_pvalue_FDR_all_horizons
"GARCH(1,1)",1,27.383759510163486,4.891575751688606e-06,4002,6.43848432273543e-06
"GARCH(1,1)",2,299.45756826187403,1.4184416195350268e-63,4002,1.0922000470419705e-62
"GARCH(1,1)",3,258.90332214239527,7.857918805543497e-55,4002,4.6543057540526863e-54
"GARCH(1,1)",4,213.87653934884628,3.8947091229500415e-45,4002,1.9347909836590529e-44
"GARCH(1,1)",5,165.3497405479179,1.0407707917760437e-34,4002,4.109710305987455e-34
"GARCH(1,1)",6,122.07787584362251,1.9221639755146083e-25,4002,6.4350707006358625e-25
"GARCH(1,1)",7,94.72805784945922,1.3019253086756689e-19,4002,3.2868278284598854e-19
"GARCH(1,1)",8,74.29652157180736,2.806661719292522e-15,4002,6.356263305456594e-15
"GARCH(1,1)",9,59.40914993498681,3.860735902679113e-12,4002,7.927377720167778e-12
"GARCH(1,1)",10,51.859425959509885,1.4760479305758351e-10,4002,2.9142484783163925e-10
"GARCH(1,1)",11,49.024324710543695,5.770991300258269e-10,4002,1.0838203173655775e-09
"GARCH(1,1)",12,47.75548486758032,1.0613025014158514e-09,4002,1.9457212525957277e-09
"GARCH(1,1)",13,46.26113367777351,2.1731513920777547e-09,4002,3.937238992705579e-09
"GARCH(1,1)",14,45.74856035513786,2.7781559927659468e-09,4002,4.917655435470757e-09
"GARCH(1,1)",15,44.586919837868,4.845151668635508e-09,4002,8.383745583931104e-09
"GARCH(1,1)",16,44.73124902119725,4.521786823261096e-09,4002,7.913126940706918e-09
"GARCH(1,1)",17,42.70133238008421,1.1934767447472872e-08,4002,2.0421713187898027e-08
"GARCH(1,1)",18,38.599679068567944,8.427112536422913e-08,4002,1.3379127119681738e-07
"GARCH(1,1)",19,35.20800712569131,4.210026284332378e-07,4002,6.234077382569098e-07
"GARCH(1,1)",20,34.25173841618562,6.616500460071622e-07,4002,9.612651611802168e-07
"GARCH(1,1)",21,36.172689637837124,2.6663859546397447e-07,4002,4.025719970730595e-07
"GARCH(1,1)",22,38.85081822213212,7.478642588175972e-08,4002,1.199698915186562e-07
HAR,1,9.271373322164107,0.025892170723479564,4002,0.026761035512858074
HAR,2,39.41485509531956,5.718723698898424e-08,4002,9.368972868408057e-08
HAR,3,30.511720807764974,3.850117387449102e-06,4002,5.155809371018798e-06
HAR,4,25.60310501374015,3.80438384201457e-05,4002,4.802255013690523e-05
HAR,5,22.984243238201387,0.00012754727931202543,4002,0.0001534553204222806
HAR,6,21.22439145551551,0.0002858224265703357,4002,0.00033600499001398246
HAR,7,19.385647854166276,0.0006600129699950438,4002,0.0007642255442047875
HAR,8,17.76095310577058,0.0013741556514012478,4002,0.0015560291934984718
HAR,9,16.97597209790918,0.001953837919047621,4002,0.002149221710952383
HAR,10,16.85439338684585,0.002062992013250355,4002,0.002237329366482779
HAR,11,16.949638293904762,0.0019769866577360466,4002,0.002159262023342916
HAR,12,17.08933739848338,0.001857198792450491,4002,0.002072526188676635
HAR,13,17.603516765446297,0.0014748535439857505,4002,0.0016578645676920115
HAR,14,17.00623617240815,0.0019275642459513015,4002,0.002135574776089931
HAR,15,16.168734957720904,0.0028009058338901555,4002,0.0029747551615109235
HAR,16,16.531326227075265,0.0023831129482777625,4002,0.0025664293289145135
HAR,17,19.279352907471864,0.0006925802938902579,4002,0.0007959504870082069
HAR,18,25.041165307149324,4.936003406617633e-05,4002,6.081156196952923e-05
HAR,19,37.29694100868334,1.5645913082087216e-07,4002,2.458643484327991e-07
HAR,20,54.02257416674279,5.205711970708752e-11,4002,1.0548416361699314e-10
HAR,21,65.74569667917174,1.7920704526390103e-13,4002,3.833039579255661e-13
HAR,22,68.86160101812266,3.947065161164249e-14,4002,8.561239927032315e-14
LSTM,1,257.8359473228107,1.3210580659376488e-55,4002,8.137717686175916e-55
LSTM,2,308.8321111656099,1.3472711982722958e-65,4002,1.0919987607049134e-64
LSTM,3,1299.163690294555,5.05232230480615e-280,4002,1.9451440873503675e-278
LSTM,4,914.8237070730925,1.0228498621204245e-196,4002,2.2502696966649337e-195
LSTM,5,187.05739683509194,2.2728253032647944e-39,4002,1.0606518081902374e-38
LSTM,6,1517.464382202784,0.0,4002,0.0
LSTM,7,1277.5219523708645,2.4868553975726402e-275,4002,7.659514624523731e-274
LSTM,8,177.41640327690303,2.6751594908266397e-37,4002,1.211689887021478e-36
LSTM,9,73.24116989596345,4.691455237624476e-15,4002,1.0470784153538686e-14
LSTM,10,168.78736701775023,1.9042093449030965e-35,4002,7.925628084191267e-35
LSTM,11,175.75323495688633,6.087759097803459e-37,4002,2.678614003033522e-36
LSTM,12,118.3777467301609,1.1860831102139828e-24,4002,3.886314871764965e-24
LSTM,13,336.1464684393063,1.7171043291980127e-71,4002,1.6527129168530873e-70
LSTM,14,104.67629399186384,9.92817652837267e-22,4002,2.7798894279443472e-21
LSTM,15,49.39362277101229,4.832705510950002e-10,4002,9.188106773904941e-10
LSTM,16,264.5455316103819,4.77979329215232e-56,4002,3.067034029131072e-55
LSTM,17,96.65680506507525,5.062190824071324e-20,4002,1.2992956448449732e-19
LSTM,18,53.98425937001827,5.3027721230873036e-11,4002,1.0605544246174607e-10
LSTM,19,50.127805633762044,3.3956643825323945e-10,4002,6.536653936374859e-10
LSTM,20,91.6122227489364,5.983580722207176e-19,4002,1.4862442439030728e-18
LSTM,21,104.52467039815106,1.069489229070143e-21,4002,2.9410953799428935e-21
LSTM,22,166.44106972406865,6.070143017996866e-35,4002,2.4600053283460983e-34
TSMixerX,1,45768132.79311482,0.0,4002,0.0
TSMixerX,2,1107.9122809737146,1.4593640085022782e-238,4002,3.7457009551558474e-237
TSMixerX,3,632.7193703015005,1.2831759138341914e-135,4002,2.1956565636718383e-134
TSMixerX,4,252.82189174757744,1.6055746208342297e-53,4002,9.157721911424866e-53
TSMixerX,5,297.3998423426038,3.9415437140504194e-63,4002,2.890465390303641e-62
TSMixerX,6,130.14099107768408,3.632874681758524e-27,4002,1.2432504466462504e-26
TSMixerX,7,139.18278736288175,4.2227317381129055e-29,4002,1.5123271806264825e-28
TSMixerX,8,82.11675310421701,6.20049172840531e-17,4002,1.4690395787298735e-16
TSMixerX,9,115.61546542814054,4.6116369132891614e-24,4002,1.4493716013194508e-23
TSMixerX,10,165.28864992252122,1.072660255468201e-34,4002,4.129741983552574e-34
TSMixerX,11,88.94481824929125,2.2061045174114955e-18,4002,5.392699931450322e-18
TSMixerX,12,220.93776072791303,1.177954389441488e-46,4002,6.255343999103075e-46
TSMixerX,13,318.0547151031327,1.3787654045344465e-67,4002,1.2489992488135574e-66
TSMixerX,14,106.53728177148022,3.983567220088337e-22,4002,1.157489343195479e-21
TSMixerX,15,63.039031496131145,6.658743842528843e-13,4002,1.4047213037663588e-12
TSMixerX,16,80.65764844165851,1.2637676361048818e-16,4002,2.948791150911391e-16
TSMixerX,17,83.43115186451377,3.263937466246863e-17,4002,7.853849528156514e-17
TSMixerX,18,32.478890466438315,1.5269395078392578e-06,4002,2.137715310974961e-06
TSMixerX,19,72.0022996310665,8.57263855225947e-15,4002,1.8859804814970833e-14
TSMixerX,20,35.89294415928513,3.0442096644653325e-07,4002,4.5515367798802057e-07
TSMixerX,21,36.49853162623471,2.284855441586786e-07,4002,3.5186773800436507e-07
TSMixerX,22,34.83487577366108,5.022639996513366e-07,4002,7.366538661552937e-07
VIX,1,12980474523.568508,0.0,4002,0.0
VIX,2,660.4205487996269,1.2930155889231868e-141,4002,2.4890550086771346e-140
VIX,3,625.8507658510667,3.93603888847221e-134,4002,6.061499888247204e-133
VIX,4,574.1214833992641,6.174303639431832e-123,4002,8.644025095204565e-122
VIX,5,506.637882392347,2.4567467134676267e-108,4002,3.152824948950121e-107
VIX,6,432.13562750928514,3.158902355214806e-92,4002,3.474792590736286e-91
VIX,7,364.2528871144088,1.4663634114892621e-77,4002,1.5054664357956425e-76
VIX,8,315.7475207413101,4.3385959714092043e-67,4002,3.711909886650097e-66
VIX,9,281.36890113683836,1.1293839691557273e-59,4002,7.905687784090091e-59
VIX,10,250.7214012477162,4.551468032408733e-53,4002,2.5033074178248033e-52
VIX,11,216.20986555822873,1.225938301011876e-45,4002,6.293149945194297e-45
VIX,12,190.2319045600385,4.725657660243833e-40,4002,2.2742227489923448e-39
VIX,13,169.9456383988999,1.074322516627482e-35,4002,4.5957129877953394e-35
VIX,14,149.5254794871174,2.5728256018952487e-31,4002,9.663783968094349e-31
VIX,15,131.010208332772,2.3678255476483168e-27,4002,8.287389416769109e-27
VIX,16,115.72264815078346,4.37498195116132e-24,4002,1.4036400426642566e-23
VIX,17,106.0350661125488,5.096977258914198e-22,4002,1.4535824034681231e-21
VIX,18,102.08085993430748,3.54620458855234e-21,4002,9.415784597190694e-21
VIX,19,102.011394968717,3.669086599436928e-21,4002,9.576937903615031e-21
VIX,20,103.50618198170251,1.7626499492007555e-21,4002,4.762247231173971e-21
VIX,21,106.69526252552728,3.686368446842512e-22,4002,1.0917321938725902e-21
VIX,22,107.51189076787045,2.468998533066597e-22,4002,7.455407335142273e-22
VIX_calibrated,1,28.7860618837839,8.639930050927247e-06,4002,1.1275840913922e-05
VIX_calibrated,2,32.444979274324005,1.5515229354937226e-06,4002,2.1525633519462456e-06
VIX_calibrated,3,32.647839190338495,1.4101261167550322e-06,4002,1.9922882750483943e-06
VIX_calibrated,4,33.00310758046011,1.192731950634086e-06,4002,1.7007474110893448e-06
VIX_calibrated,5,31.213946653398434,2.7686502258187328e-06,4002,3.773204732531724e-06
VIX_calibrated,6,27.92297064990327,1.292940903846655e-05,4002,1.6592741599365406e-05
VIX_calibrated,7,25.068492650393406,4.873938698564659e-05,4002,6.053117415959334e-05
VIX_calibrated,8,20.677567581726283,0.00036685101434390103,4002,0.00042799285006788455
VIX_calibrated,9,18.92901629344554,0.0008115871429358379,4002,0.0009258105186082891
VIX_calibrated,10,16.404311309567635,0.0025219625575734206,4002,0.002697098846293797
VIX_calibrated,11,13.776056486961988,0.008045180635718827,4002,0.008486012451374654
VIX_calibrated,12,11.26225014249588,0.023769534354246752,4002,0.024733164125364863
VIX_calibrated,13,9.712286872627889,0.04556332483289514,4002,0.046778346828439
VIX_calibrated,14,8.687765728242248,0.06939570178882112,4002,0.07077442434091691
VIX_calibrated,15,7.487242962620733,0.11227314167089092,4002,0.11375041985077106
VIX_calibrated,16,4.6382676531218365,0.32646583584144556,4002,0.3285995994743962
VIX_calibrated,17,13.648978680662951,0.00850389601275575,4002,0.008908843441934594
VIX_calibrated,18,25.476788478914415,4.033867680379102e-05,4002,5.050533518523429e-05
VIX_calibrated,19,36.89310192257113,1.8949916184518424e-07,4002,2.947764739813977e-07
VIX_calibrated,20,40.27774307209077,3.792110811529414e-08,4002,6.34766374973402e-08
VIX_calibrated,21,39.10152572782916,6.638034712349041e-08,4002,1.0760603638965813e-07
VIX_calibrated,22,36.20252268205252,2.628960922449603e-07,4002,4.008514673834048e-07
XGBoost,1,-1612294.1036209373,1.0,4002,1.0
XGBoost,2,487.15484905959926,4.0186943652445496e-104,4002,4.760607171135851e-103
XGBoost,3,264.5865470559312,4.683489465835996e-56,4002,3.067034029131072e-55
XGBoost,4,145.19008569893634,2.183846149931926e-30,4002,8.007435883083729e-30
XGBoost,5,108.73276895564291,1.355892893436884e-22,4002,4.1761501117856025e-22
XGBoost,6,76.40115004732215,1.006916596839228e-15,4002,2.3144053121379268e-15
XGBoost,7,59.4698143073501,3.749089504648891e-12,4002,7.802159239404449e-12
XGBoost,8,51.74602865945828,1.5588668802548106e-10,4002,3.038803791889124e-10
XGBoost,9,45.98917933576389,2.4756538513498527e-09,4002,4.433147594277643e-09
XGBoost,10,42.12981907371283,1.5679354436846378e-08,4002,2.653429212389387e-08
XGBoost,11,48.254692962384766,8.351667362437471e-10,4002,1.5495864744763501e-09
XGBoost,12,40.099974859531784,4.127175510116484e-08,4002,6.834247618902566e-08
XGBoost,13,32.26741862057592,1.6868267065036528e-06,4002,2.319386721442523e-06
XGBoost,14,33.84969482681022,7.999956558686098e-07,4002,1.1513956168576254e-06
XGBoost,15,30.891918068098065,3.220804971696382e-06,4002,4.350911979309147e-06
XGBoost,16,24.615946633180723,6.0093434609220976e-05,4002,7.344753118904786e-05
XGBoost,17,28.047085431894427,1.2201834717532796e-05,4002,1.5790609634454205e-05
XGBoost,18,22.62452761026845,0.0001504818645809606,4002,0.00017826313188821485
XGBoost,19,23.29729246758509,0.00011043360896305032,4002,0.0001339116203173996
XGBoost,20,22.79403042380198,0.00013920547527259596,4002,0.00016618328055798277
XGBoost,21,27.89575708450288,1.3094619255214e-05,4002,1.6665879052090543e-05
XGBoost,22,30.166791742824184,4.526287712608447e-06,4002,6.009037135704317e-06
